2 60.42462     roate
2 61.000862     raise
2 61.330887     raile
2 62.30108     soare
2 63.7257     arise
2 63.779266     irate
2 63.890713     orate
2 65.28769     ariel
2 66.021164     arose
2 67.05615     raine
2 67.495895     artel
2 67.73693     taler
2 69.84319     ratel
2 69.882935     aesir
2 69.89072     arles
2 69.94773     realo
2 69.99179     alter
2 70.1257     saner
2 70.22333     later
2 71.097626     snare
2 71.24535     oater
2 71.27214     salet
2 71.27646     taser
2 71.2946     stare
2 71.54341     tares
2 71.572784     slate
2 71.5987     alert
2 71.6108     reais
2 71.744705     lares
2 71.76544     reast
2 71.84579     strae
2 72.122246     laser
2 72.592224     saine
2 72.80216     rales
2 72.8298     urate
2 72.89978     crate
2 72.92138     serai
2 73.041466     toile
2 73.07862     seral
2 73.32743     rates
2 73.51577     carte
2 73.94341     antre
2 73.98575     slane
2 74.0203     trace
2 74.5067     coate
2 74.68034     carle
2 74.8324     carse
2 74.89633     stoae
2 74.93952     reals
2 75.14255     terai
2 75.202156     aeros
2 75.273865     liane
2 75.44752     tears
2 75.59957     caret
2 75.60389     stale
2 75.67732     alure
2 75.94946     slier
2 76.03153     resat
2 76.084236     sorel
2 76.161125     tales
2 76.166306     nares
2 76.18877     aisle
2 76.32268     litre
2 76.51793     saice
2 76.6406     learn
2 76.76501     earnt
2 76.76846     oriel
2 76.81166     earst
2 76.82894     lears
2 76.87041     paire
2 77.00951     reoil
2 77.163284     alone
2 77.208206     teras
2 77.23067     urase
2 77.26004     leant
2 77.35594     aloes
2 77.955505     torse
2 78.0851     aster
2 78.160255     arets
2 78.18964     least
2 78.255295     soler
2 78.29244     reans
2 78.548164     retia
2 78.5784     laten
2 78.66825     siler
2 78.681206     anole
2 78.741684     crane
2 78.82117     trone
2 78.87646     laers
2 78.92829     earls
2 78.94989     stear
2 78.9594     atone
2 78.98791     ayrie
2 79.44752     trail
2 79.756805     stane
2 79.83024     react
2 79.94946     haole
2 79.97106     teals
2 79.97538     maire
2 80.072136     toise
2 80.31145     tiler
2 80.58359     nears
2 80.59309     neral
2 80.61642     aline
2 80.68034     scare
2 80.80734     ursae
2 80.820305     cater
2 80.93175     trade
2 80.974945     scrae
2 81.1581     renal
2 81.21512     sayer
2 81.21944     store
2 81.252266     liart
2 81.330025     stire
2 81.40864     sared
2 81.42246     uraei
2 81.50021     prate
2 81.539955     oaten
2 81.55378     tries
2 81.66436     ronte
2 81.80346     cares
2 81.888985     trine
2 81.98229     rayle
2 82.17581     lanes
2 82.20173     anile
2 82.265656     rance
2 82.37797     setal
2 82.432396     roset
2 82.49892     earns
2 82.53866     arsey
2 82.5689     parle
2 82.57754     relit
2 82.60259     snore
2 82.61642     leats
2 82.669975     trape
2 82.83326     solar
2 82.91188     anise
2 82.942116     trial
2 82.99914     reist
2 83.16415     loser
2 83.20475     orles
2 83.23844     lores
2 83.2756     tolar
2 83.35594     roast
2 83.48726     liter
2 83.59698     alien
2 83.60303     irone
2 83.645355     aures
2 83.72052     roles
2 83.72138     lacet
2 83.76544     teary
2 83.77581     rayne
2 84.05918     oiler
2 84.13175     senor
2 84.227646     nacre
2 84.29762     siren
2 84.337364     saute
2 84.34082     salue
2 84.38574     tires
2 84.47819     riles
2 84.53002     telia
2 84.531746     stole
2 84.57927     serac
2 84.58099     grate
2 84.78229     rathe
2 84.78574     taels
2 84.79611     nates
2 84.90151     haler
2 84.90929     tores
2 84.98013     toeas
2 85.01123     rinse
2 85.05702     tared
2 85.08208     races
2 85.152054     tesla
2 85.16501     roule
2 85.27127     porae
2 85.33866     deair
2 85.346436     aeons
2 85.379265     orals
2 85.407776     caste
2 85.429375     irade
2 85.4717     share
2 85.50453     leirs
2 85.51577     sarge
2 85.55637     lacer
2 85.68596     ariot
2 85.78186     sitar
2 85.84406     orant
2 85.862206     soral
2 85.894165     solei
2 85.98402     leans
2 85.99525     slart
2 86.033264     larnt
2 86.05054     trice
2 86.05313     crise
2 86.11533     serin
2 86.122246     loure
2 86.1689     ramie
2 86.21728     arils
2 86.23715     toles
2 86.39439     urite
2 86.432396     marle
2 86.4635     rotes
2 86.68294     peart
2 86.75465     tenor
2 86.76242     ureal
2 86.76501     targe
2 86.82289     nitre
2 86.8324     canoe
2 87.007774     resit
2 87.01296     parse
2 87.03542     aiery
2 87.05961     thrae
2 87.10108     route
2 87.12009     caner
2 87.16933     neals
2 87.24449     stair
2 87.37581     dares
2 87.42851     scale
2 87.44924     areic
2 87.77063     tinea
2 87.78186     toner
2 87.794815     rites
2 87.79568     rails
2 87.827644     layer
2 87.85443     seron
2 87.86307     sonar
2 87.95292     hater
2 87.9987     thale
2 88.0419     hares
2 88.127426     aurei
2 88.14471     lairs
2 88.19482     marse
2 88.20778     dater
2 88.27862     clear
2 88.29676     acres
2 88.36242     ceria
2 88.398705     neats
2 88.49114     riels
2 88.509285     sarin
2 88.54903     glare
2 88.57494     nerol
2 88.63888     sated
2 88.6406     sager
2 88.64147     arsed
2 88.66393     rated
2 88.664795     ayres
2 88.72354     rased
2 88.74514     rotal
2 88.76933     train
2 88.886826     prase
2 88.898056     osier
2 88.92138     rials
2 88.92225     riant
2 88.95162     lotes
2 88.97754     leary
2 88.98445     corse
2 88.99049     antes
2 89.0432     adore
2 89.04665     loner
2 89.14255     heart
2 89.273     raits
2 89.27646     laris
2 89.291145     plate
2 89.31706     stile
2 89.368034     derat
2 89.41728     taper
2 89.42592     liers
2 89.47257     potae
2 89.4864     clote
2 89.53132     pareo
2 89.667816     cates
2 89.69633     slade
2 89.72052     taros
2 89.72916     pater
2 89.81123     argle
2 89.84752     taces
2 89.93564     sayne
2 89.95205     claes
2 90.01425     maise
2 90.02462     aired
2 90.05659     oared
2 90.122246     palet
2 90.122246     rimae
2 90.166306     armet
2 90.1689     large
2 90.227646     arled
2 90.32959     paise
2 90.332184     rouse
2 90.44363     isnae
2 90.509285     triol
2 90.51188     morae
2 90.55248     liars
2 90.56113     resto
2 90.56113     ureas
2 90.625916     sabre
2 90.64147     ourie
2 90.708855     loast
2 90.720085     ramet
2 90.72095     terns
2 90.79352     lyase
2 90.81685     paler
2 90.90065     lance
2 90.908424     halse
2 90.9568     shale
2 91.02246     tiars
2 91.107994     pearl
2 91.113174     recta
2 91.15637     noise
2 91.2514     maile
2 91.3378     dealt
2 91.396545     lathe
2 91.45357     teloi
2 91.47775     score
2 91.49417     louie
2 91.54255     spare
2 91.72138     noter
2 91.73521     years
2 91.84319     tased
2 91.93996     ceorl
2 91.97365     gater
2 91.99611     yearn
2 92.00389     ratio
2 92.03931     rones
2 92.044495     ratos
2 92.07559     tiles
2 92.11533     trans
2 92.13693     eorls
2 92.17581     tarsi
2 92.23715     liras
2 92.32441     toras
2 92.377106     recal
2 92.476456     liner
2 92.647514     prole
2 92.670845     segar
2 92.7365     cries
2 92.74514     shear
2 92.75378     lader
2 92.75637     risen
2 92.770195     tuile
2 92.86005     steal
2 92.87214     roans
2 92.913605     paren
2 92.91792     tiers
2 92.96285     telos
2 93.0216     toran
2 93.02419     tenia
2 93.07084     gares
2 93.17365     tamer
2 93.28769     elain
2 93.29892     petar
2 93.3473     frate
2 93.40864     stade
2 93.42246     aruhe
2 93.44233     socle
2 93.456154     resay
2 93.5149     noser
2 93.5149     spaer
2 93.52527     laces
2 93.54341     brane
2 93.616844     pares
2 93.63326     rines
2 93.65054     saned
2 93.684235     teils
2 93.744705     stela
2 93.81036     dears
2 93.84233     rents
2 93.84665     drole
2 93.85702     sorta
2 93.87516     aider
2 94.00302     artis
2 94.00475     snarl
2 94.01771     sieur
2 94.02894     crone
2 94.10928     silen
2 94.132614     tarns
2 94.13607     saber
2 94.18013     mater
2 94.193954     lated
2 94.21382     dates
2 94.243195     stone
2 94.26307     erica
2 94.293304     niter
2 94.31231     alder
2 94.326996     outre
2 94.337364     airts
2 94.39525     blare
2 94.41944     lutea
2 94.47387     thane
2 94.51188     wrate
2 94.626785     slyer
2 94.65183     canes
2 94.803024     togae
2 94.809074     ocrea
2 94.8108     nerts
2 94.83326     lites
2 94.84363     crena
2 94.85486     farse
2 94.858315     seric
2 94.90497     moire
2 94.913605     urena
2 94.93002     rotas
2 94.99049     lirot
2 95.002594     losen
2 95.003456     rains
2 95.00518     close
2 95.03197     elans
2 95.074295     farle
2 95.10367     yeast
2 95.2108     plane
2 95.27214     tread
2 95.3041     sauce
2 95.32224     tsade
2 95.35075     cires
2 95.38445     hears
2 95.412094     reins
2 95.43887     hanse
2 95.54169     renos
2 95.55292     larns
2 95.69719     cosie
2 95.723976     rages
2 95.728294     loran
2 95.73866     resin
2 95.76372     locie
2 95.794815     reads
2 95.82851     aloed
2 95.895035     apter
2 95.923546     crine
2 95.97019     yates
2 95.98488     urine
2 96.032394     dearn
2 96.033264     ancle
2 96.072136     citer
2 96.117065     stean
2 96.12398     trona
2 96.127426     cause
2 96.128296     slice
2 96.199135     mares
2 96.30022     rapes
2 96.31836     aimer
2 96.34687     tones
2 96.383156     maser
2 96.39179     ulnae
2 96.4013     cadre
2 96.42462     hales
2 96.50583     shire
2 96.56717     astir
2 96.57236     great
2 96.587906     early
2 96.66652     leapt
2 96.670845     naris
2 96.71836     lased
2 96.72786     waite
2 96.7676     cleat
2 96.78834     clart
2 96.81166     istle
2 96.81253     rants
2 96.81512     lager
2 96.82203     islet
2 96.95421     arson
2 97.00518     luter
2 97.00518     relay
2 97.047516     dales
2 97.29287     arpen
2 97.2946     earth
2 97.30151     taber
2 97.32224     roist
2 97.329155     trope
2 97.37754     ranis
2 97.381     daine
2 97.446655     apert
2 97.457016     rotan
2 97.4648     abore
2 97.4838     realm
2 97.52527     vaire
2 97.54773     perai
2 97.584885     dorse
2 97.601295     trues
2 97.62376     noles
2 97.66177     yales
2 97.69806     inter
2 97.76112     thole
2 97.83629     tripe
2 97.850975     braes
2 97.93132     shore
2 97.94341     inert
2 97.972786     tride
2 98.02376     stern
2 98.05399     olent
2 98.05918     diane
2 98.11965     salto
2 98.12052     lamer
2 98.166306     flare
2 98.20432     toyer
2 98.22333     sired
2 98.22592     urial
2 98.2311     starn
2 98.26911     eards
2 98.26998     cadet
2 98.28985     tapen
2 98.35033     cores
2 98.404755     acers
2 98.47819     trode
2 98.48164     maerl
2 98.56717     crest
2 98.598274     tails
2 98.62505     lento
2 98.65183     denar
2 98.65183     table
2 98.66739     coset
2 98.71145     tyler
2 98.7244     salep
2 98.731316     roues
2 98.74946     baser
2 98.79439     renay
2 98.798706     recit
2 98.80562     lades
2 98.89114     slant
2 98.91274     carol
2 98.95075     seton
2 98.97235     pilae
2 98.99395     enrol
2 98.99568     escar
2 99.04579     bares
2 99.063934     samel
2 99.08726     pears
2 99.091576     crape
2 99.09331     inlet
2 99.11058     safer
2 99.12786     blaer
2 99.146866     manet
2 99.18747     lures
2 99.19006     urali
2 99.20561     afire
2 99.22203     louse
2 99.254     afore
2 99.264366     paten
2 99.29028     teads
2 99.31706     spale
2 99.3378     airns
2 99.3378     lande
2 99.3784     soyle
2 99.38272     aunes
2 99.42851     gears
2 99.48553     blate
2 99.48553     coste
2 99.48553     horse
2 99.48726     lapse
3 100.111015     range
3 100.11447     talon
3 100.13434     panel
3 100.21382     luser
3 100.21901     uraos
3 100.23283     sored
3 100.25184     styre
3 100.277756     rices
3 100.4108     paste
3 100.515335     leash
3 100.543846     stria
3 100.64838     satem
3 100.669975     tonal
3 100.68812     paseo
3 100.72182     grace
3 100.7365     haste
3 100.758965     aside
3 100.77797     clone
3 100.808205     nurse
3 100.81857     alist
3 100.84968     spate
3 100.85745     cesta
3 100.91534     outer
3 100.91706     rules
3 100.986176     reaps
3 101.007774     taroc
3 101.02678     spear
